Mo,Da,Hr,Space_Heating_cz1_themrs,Water_Heating_cz1_therms,Space_Heating_cz1_kWh,Water_Heating_cz1_kWh,Space_Heating_cz6_kWh,Space_Heating_cz6_kWh,Water_Heating_cz6_kWh
1,1,1,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0
1,1,7,0.149916,0.000664605,0.0999774,0,0.0410249,0,0
1,1,8,0.259,0.0448564,0.174916,0,0.143414,0,0
1,1,9,0.135797,0.0196259,0.0913136,0,0.0752482,0,0
1,1,10,0.0830484,0.148992,0.0556952,2.77581,0.0261356,0,2.62577
1,1,11,0.0498225,0.0719527,0.0331421,1.79778,0,0,1.62361
1,1,12,0.0666563,0.000443925,0.044604,0,0,0,0
1,1,13,0.0813642,0,0.0546087,0,0,0,0
1,1,14,0.0791423,0,0.0531205,0,0,0,0
1,1,15,0.0704224,0.0287689,0.047243,0,0,0,0
1,1,16,0.0769375,0.0385728,0.051692,0,0,0,0
1,1,17,0.0775043,0.0012536,0.052095,0,0,0,0
1,1,18,0.0765119,0.00538829,0.0514314,0,0,0,0
1,1,19,0.0726231,0,0.0488007,0,0,0,0
1,1,20,0.0685099,0,0.0460161,0,0.00211519,0,0
1,1,21,0.0690985,0,0.0464194,0,0.00481934,0,0
1,1,22,0.0751941,0.0319269,0.0505621,0,0.00883186,0,0
1,1,23,0.083999,0,0.0565574,0,0.015116,0,0
1,1,24,0,0,0,0,0,0,0
1,2,1,0,0.0191249,0,0,0,0,0
1,2,2,0,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0,0
1,2,4,0,0,0,0,0,0,0
1,2,5,0.00127751,0,0.000272229,0,0,0,0
1,2,6,0.0154318,0,0.00982271,0,0,0,0
1,2,7,0.184009,0,0.123992,0,0,0,0
1,2,8,0.284235,0,0.192036,0,0.105714,0,0
1,2,9,0.172011,0.0700409,0.116154,0.375111,0.050301,0,0.225066
1,2,10,0.147154,0.0572244,0.0992863,3.74748,0.0414607,0,3.36284
1,2,11,0.122432,0.0175614,0.0824525,0,0.0316524,0,0
1,2,12,0.10297,0.0103181,0.0692834,0,0.0242068,0,0
1,2,13,0.0861705,0.0199399,0.0579138,0,0.0188278,0,0
1,2,14,0.060515,0,0.0405451,0,0.0125948,0,0
1,2,15,0.0540354,0.130992,0.0361753,2.45352,0.011545,0,0
1,2,16,0.0543762,0,0.0363464,0,0.00783072,0,0
1,2,17,0.0698412,0.0838587,0.0468183,0,0.0105993,0,0.300088
1,2,18,0.0776136,0.0389494,0.0521574,0,0.0122814,0,2.89092
1,2,19,0.0754753,0.0117629,0.0507406,0,0.0112994,0,0
1,2,20,0.0752978,0.0102014,0.0506416,0,0.0110621,0,0
1,2,21,0.0773395,0.00776347,0.0520419,0,0.0111406,0,0
1,2,22,0.0835409,0.115386,0.0562658,1.65048,0.013449,0,0
1,2,23,0.0925701,0.00823032,0.0622884,2.0856,0.0202601,0,0
1,2,24,0,0,0,0,0,0,0
1,3,1,0,0.000695978,0,0,0,0,0
1,3,2,0,0.00783604,0,0,0,0,0
1,3,3,0,0,0,0,0,0,0
1,3,4,0,0.000348492,0,0,0,0,0
1,3,5,0.00916542,0,0.0051112,0,0,0,0
1,3,6,0.0295202,0,0.0191569,0,0,0,0
1,3,7,0.202991,0,0.136627,0,0.0237131,0,0
1,3,8,0.296431,0,0.200256,0,0.119745,0,0
1,3,9,0.171386,0.0046986,0.11548,0,0.0376084,0,0
1,3,10,0.138887,0.221324,0.0936166,1.65048,0.0169126,0,3.90114
1,3,11,0.0872045,0.275609,0.0586234,4.50132,0.00810352,0,2.93092
1,3,12,0.0665938,0.000348492,0.0446081,0.737315,0.00340739,0,1.07348
1,3,13,0.0622243,0,0.0416462,0,0.000176765,0,0
1,3,14,0.0617727,0,0.0413429,0,0,0,0
1,3,15,0.0552174,0.00388579,0.0369033,0,0,0,0
1,3,16,0.0377294,0.0636884,0.0250632,0,0,0,0
1,3,17,0.00894057,0.0960057,0.00561319,1.3504,0,0,0
1,3,18,0.0598298,0.0366682,0.0400252,0.925794,0,0,0
1,3,19,0.0640665,0.0275561,0.0429147,0,0,0,2.71158
1,3,20,0.0645882,0.00852699,0.0433051,0,0.00722321,0,0
1,3,21,0.0715288,0,0.0480358,0,0.0125149,0,0
1,3,22,0.0794841,0,0.0534282,0,0.0198192,0,0
1,3,23,0.0863302,0.000348492,0.0580742,0,0.0293394,0,0
1,3,24,0,0,0,0,0,0,0
1,4,1,0,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0,0
1,4,3,0,0,0,0,0,0,0
1,4,4,0,0,0,0,0,0,0
1,4,5,0,0,0,0,0,0,0
1,4,6,0.0158018,0.00255364,0.00931164,0,0,0,0
1,4,7,0.189574,0,0.127574,0,0.074459,0,0
1,4,8,0.287306,0,0.193984,0,0.146171,0,0
1,4,9,0.147645,0,0.0995,0,0.0585234,0,0
1,4,10,0.0988613,0,0.0665015,0,0.0320064,0,0
1,4,11,0.0864671,0,0.0581351,0,0.0166881,0,0
1,4,12,0.0772009,0,0.0518746,0,0.00953602,0,0
1,4,13,0.0551281,0,0.036927,0,0.00183597,0,0
1,4,14,0.0526589,0.00243674,0.0352623,0,0,0,0
1,4,15,0.0498577,0.0131209,0.0333702,0,0,0,0
1,4,16,0.0487428,0.0154428,0.0326366,0,0,0,0
1,4,17,0.057415,0.0193821,0.0385237,0,0,0,0
1,4,18,0.063201,0,0.0424581,0,0.00694168,0,0
1,4,19,0.0612219,0.021067,0.0411275,0,0.00884349,0,0
1,4,20,0.0625264,0,0.042027,0,0.0117789,0,0
1,4,21,0.0671288,0,0.0451521,0,0.0151215,0,0
1,4,22,0.0699879,0,0.0470967,0,0.0199342,0,0
1,4,23,0.0758271,0,0.0510613,0,0.0294607,0,0
1,4,24,0,0,0,0,0,0,0
1,5,1,0,0.0194523,0,2.17564,0,0,0
1,5,2,0,0,0,0.482594,0,0,0
1,5,3,0,0,0,0,0,0,0
1,5,4,0,0,0,0,0,0,0
1,5,5,0.00615944,0,0.00322802,0,0,0,0
1,5,6,0.023834,0,0.0153513,0,0,0,0
1,5,7,0.197597,0.394195,0.133091,1.65048,0.0756249,0,1.9611
1,5,8,0.294346,0.10969,0.198833,4.51583,0.145469,0,4.50132
1,5,9,0.157871,0.00577183,0.106391,0.509581,0.0567304,0,0.869927
1,5,10,0.127547,0.111272,0.0859203,0,0.0339607,0,0
1,5,11,0.0976772,0.100587,0.0657632,2.55075,0.00446392,0,2.47572
1,5,12,0.0750419,0,0.0503309,0.331893,0,0,0.0203842
1,5,13,0.0674623,0.222435,0.0452479,1.80053,0,0,1.20035
1,5,14,0.0541335,0.0175993,0.0361852,1.39536,0,0,1.53825
1,5,15,0.0740465,0.180217,0.0497081,1.12533,0,0,0
1,5,16,0.0708463,0.000592786,0.0475243,1.2745,0,0,0
1,5,17,0.0711509,0.0223229,0.0477216,0,0,0,1.95057
1,5,18,0.0655938,0.0371725,0.0439836,0,0,0,0.507333
1,5,19,0.0603474,0.00306194,0.040439,0,0,0,0
1,5,20,0.0581135,0.0807177,0.038956,0,0,0,0
1,5,21,0.0598716,0.00426695,0.0402008,0,0,0,0
1,5,22,0.0631247,0,0.0424179,0,0,0,0
1,5,23,0.0711321,0.00243584,0.0478567,0,0.0126514,0,0
1,5,24,0,0.260566,0,3.376,0,0,3.15091
1,6,1,0,0,0,2.11269,0,0,1.12767
1,6,2,0,0,0,0,0,0,0
1,6,3,0,0,0,0,0,0,0
1,6,4,0,0,0,0,0,0,0
1,6,5,0,0,0,0,0,0,0
1,6,6,0,0.0032603,0,0,0,0,0
1,6,7,0.136983,0,0.090874,0,0.0164222,0,0
1,6,8,0.250528,0.0620487,0.168794,0,0.12263,0,0
1,6,9,0.137527,0.0885755,0.0924763,2.18662,0.0480275,0,0
1,6,10,0.107147,0.143485,0.0719903,1.94658,0.0230834,0,3.53121
1,6,11,0.0897786,0,0.0602456,0,0.0125409,0,0
1,6,12,0.0801911,0.00325693,0.0537831,0,0.0109263,0,0
1,6,13,0.0692964,0.000963681,0.0464241,0,0.0126056,0,0
1,6,14,0.0635329,0.00377078,0.0425331,0,0.00689475,0,0
1,6,15,0.0641129,0.00222375,0.0429382,0,0.00500237,0,0
1,6,16,0.0561601,0.0513321,0.0375783,0,9.91E-06,0,0
1,6,17,0.0586118,0,0.0392638,0,0.00117564,0,0
1,6,18,0.0526483,0,0.0352254,0,0.00416964,0,0
1,6,19,0.0354609,0.0539651,0.0235872,0,0,0,0
1,6,20,0.025148,0.0162619,0.0166394,0,0,0,0
1,6,21,0.0402032,0,0.0268571,0,0,0,0
1,6,22,0.0481607,0.000887678,0.0322611,0,0.00801808,0,0
1,6,23,0.059924,0,0.0402438,0,0.0178053,0,0
1,6,24,0,0.0184174,0,0,0,0,0
1,7,1,0,0,0,0,0,0,0
1,7,2,0,0,0,0,0,0,0
1,7,3,0,0,0,0,0,0,0
1,7,4,0,0,0,0,0,0,0
1,7,5,0,0,0,0,0,0,0
1,7,6,0,0,0,0,0,0,0
1,7,7,0.102623,0,0.068131,0,0.0301298,0,0
1,7,8,0.233065,0,0.157234,0,0.121624,0,0
1,7,9,0.122348,0.118111,0.0823895,2.4007,0.0376597,0,2.25066
1,7,10,0.0853988,0.0349187,0.0572972,1.49973,0.0147197,0,1.12697
1,7,11,0.0495714,0.00331027,0.0330601,0,0.00181566,0,0
1,7,12,0.049519,0,0.0330451,0,0,0,0
1,7,13,0.0463237,0,0.0308916,0,0,0,0
1,7,14,0.0310597,0.0785988,0.0205716,0,0,0,0
1,7,15,0.0259763,0.00198921,0.0171688,0,0,0,0
1,7,16,0.0444032,0,0.0296735,0,0,0,0
1,7,17,0.0460642,0.0273181,0.0308069,0,0,0,0
1,7,18,0.0400901,0.00187836,0.0267812,0,0,0,0
1,7,19,0.0140252,0.0582058,0.00906682,2.74778,0,0,0.225066
1,7,20,0.0226069,0.038591,0.0148336,0,0,0,2.71658
1,7,21,0.0340854,0,0.0226222,0,0,0,0
1,7,22,0.0397499,0,0.0264632,0,0,0,0
1,7,23,0.0459981,0,0.0307011,0,0.0129745,0,0
1,7,24,0,0,0,0,0,0,0
1,8,1,0,0,0,0,0,0,0
1,8,2,0,0,0,0,0,0,0
1,8,3,0,0,0,0,0,0,0
1,8,4,0,0,0,0,0,0,0
1,8,5,0,0,0,0,0,0,0
1,8,6,0,0,0,0,0,0,0
1,8,7,0.0256566,0.151437,0.0156699,2.02559,0.0643998,0,0
1,8,8,0.186707,0.000581116,0.1255,0.76432,0.139718,0,0
1,8,9,0.0885048,0.0198185,0.059187,0,0.0515484,0,0
1,8,10,0.0788905,0,0.0527966,0,0.0235379,0,0
1,8,11,0.0636896,0,0.0425645,0,0.00807591,0,0
1,8,12,0.0547475,0,0.0365434,0,0.000643801,0,0
1,8,13,0.0499711,0,0.0333306,0,0,0,0
1,8,14,0.0480719,0.00494049,0.0320613,0,0,0,0
1,8,15,0.0462078,0.000349073,0.0308086,0,0,0,0
1,8,16,0.0429396,0,0.0286,0,0,0,0
1,8,17,0.0385734,0.00575163,0.0256484,0,0,0,0
1,8,18,0.0312903,0.0387622,0.0207393,0,0,0,2.80354
1,8,19,0.0251971,0.0478906,0.016644,0,0,0,0
1,8,20,0.00743516,0.079284,0.00463584,1.27538,0,0,0
1,8,21,0,0.38723,0,2.95911,0,0,1.57623
1,8,22,0.0095702,0.0223762,0.00583778,3.92424,0,0,4.42732
1,8,23,0.00026456,0.0764446,5.40E-05,0,0,0,0
1,8,24,0,0.00133677,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0
1,9,2,0,0,0,0,0,0,0
1,9,3,0,0,0,0,0,0,0
1,9,4,0,0,0,0,0,0,0
1,9,5,0,0,0,0,0,0,0
1,9,6,0,0,0,0,0,0,0
1,9,7,0,0,0,0,0.00427096,0,0
1,9,8,0.158656,0.000440103,0.105426,0,0.119672,0,0
1,9,9,0.0780297,0.00903792,0.0519792,0,0.0505683,0,0
1,9,10,0.0733496,0,0.0489894,0,0.0222158,0,0
1,9,11,0.0673926,0,0.0450551,0,0.00313719,0,0
1,9,12,0.0617001,0,0.0412623,0,0,0,0
1,9,13,0.0599067,0,0.0400876,0,0,0,0
1,9,14,0.0597779,0,0.0400273,0,0,0,0
1,9,15,0.0324772,0,0.0215535,0,0,0,0
1,9,16,0.0411828,0,0.0274575,0,0,0,0
1,9,17,0.0438301,0.00507608,0.0292562,0,0,0,0
1,9,18,0.0410927,0,0.0274088,0,0,0,0
1,9,19,0.037896,0.00761396,0.0252501,0,0,0,0
1,9,20,0.0352664,0.0044667,0.0234785,0,0,0,0
1,9,21,0.0346051,0,0.0230389,0,0,0,0
