Mon,Day,Hr,Dhw_CZ10_ERWH_SF_bc,Dhw_CZ10_HPWH_SF_bc,Dhw_CZ10_HPWH_bu_SF_bc,Dhw_CZ10_HPWH_bu2_SF_bc,Dhw_CZ10_ERWH_SF_3_to_6,Dhw_CZ10_HPWH_SF_3_to_6,Dhw_CZ10_HPWH_bu_SF_3_to_6,Dhw_CZ10_HPWH_bu2_SF_3_to_6,Dhw_CZ10_ERWH_SF_10_to_1,Dhw_CZ10_HPWH_SF_10_to_1,Dhw_CZ10_HPWH_bu_SF_10_to_1,Dhw_CZ10_HPWH_bu2_SF_10_to_1,Dhw_CZ10_ERWH_MF_bc,Dhw_CZ10_HPWH_MF_bc,Dhw__HPWH_bu2_MF_bc,Dhw_CZ10_HPWH_bu2_MF_bc,Dhw_CZ10_ERWH_MF_3_to_6,Dhw_CZ10_HPWH_MF_3_to_6,Dhw_CZ10_HPWH_bu_MF_3_to_6,Dhw_CZ10_HPWH_bu2_MF_3_to_6,Dhw_CZ10_ERWH_MF_10_to_1,Dhw_CZ10_HPWH_MF_10_to_1,Dhw_CZ10_HPWH_bu_MF_10_to_1,Dhw_CZ10_HPWH_bu2_MF_10_to_1,Dhw_CZ10_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,0,0,0,0,0.0276969,0,0,0,0,0,0,0,7.5221,1.67829,0,0,0,0,0,0,0,0,0,0,41,36.43,30.38
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71704,0,0,0,0,0,0,0,0,0,0,0,40.64,36.24,30.38
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13481,0,0,0,0,0,0,0,0,0,0,0,37.4,34.4,30.38
1,1,4,0,0,0,0,11.7009,0,2.32182,3.01375,0,0,0,0,0,0,0,0,61.434,0.589347,14.7295,0,0,0.589347,0,0,0,37.4,34.4,30.38
1,1,5,0,0,0,0,0,0,1.98125,0,0,0,0,0,0,1.01288,0.309029,0,16.884,3.51125,15.213,0,0,3.51125,0,0,0,37.04,34.12,30.2
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,18.6862,2.34953,4.90106,0,17.9182,1.85214,15.2848,0,18.1742,1.85214,1.32071,0,0,33.98,31.75,28.76
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30.717,4.80786,4.23622,0,12.5428,0.114223,3.76343,0,28.4768,0.114223,1.70119,0,0.0631539,35.78,33.48,30.38
1,1,8,0,0,0.169368,0,0,0,0,0,0.767925,0,0,0,9.55564,6.52413,5.42517,0,0,7.62461,3.02249,0,0,7.62461,4.74323,0,4.26247,37.58,34.51,30.38
1,1,9,0,0,2.93227,0,0,0,0,0,8.70023,0,0.480665,0,0,4.57193,5.29764,0,0,3.55279,1.88532,0,0,3.55279,4.45245,0,1.86495,39.56,35.74,30.56
1,1,10,4.35158,3.48546,0,0,0,0.221243,0,0,0,3.48546,2.95331,0,1.79183,3.49112,6.71309,0,1.0239,2.78212,1.17066,0,3.0717,2.78212,3.77551,0,14.1579,43.52,38.44,32
1,1,11,11.2913,1.63813,2.52576,0,0,3.01994,1.33249,0,15.3585,1.63813,2.37753,2.92337,15.3585,4.62243,6.63704,0,34.3007,4.33038,0.0286233,0,105.729,4.33038,13.6925,6.90163,6.83729,48.92,41.32,32.18
1,1,12,0,0,0.266797,0,0,0,0.88537,0,2.054,0,1.78487,0,18.9524,7.35998,4.25896,0,20.222,6.9933,1.82121,0,64.512,6.9933,14.9349,0,0.0421839,53.96,44.18,33.08
1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,15.3585,8.78195,3.75691,0,14.8465,6.71138,3.5626,0,17.504,6.71138,14.1614,0,0,57.38,44.28,28.76
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.194844,0.711722,4.73815,0,1.53585,1.28584,2.5969,0,0,1.28584,3.73504,0,0,59.18,45.74,30.56
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,11.2629,2.03256,2.71844,0,0,0,1.82732,0,0,0,1.8913,0,2.73376,60.8,47.06,32.18
1,1,16,0,0,0,0,8.44717,0,0,0,0,0,0,0,31.9805,1.92656,3.427,0,0,4.6763,1.87064,0,0,4.6763,0.671871,0,3.66537,60.8,47.65,33.8
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,3.52276,4.3509,3.8186,0,2.0478,7.25896,1.93668,0,0,7.25896,0,0,0.119123,60.26,47.77,34.88
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,15.3585,3.80192,5.38223,0,15.3585,1.62444,1.74073,0,0,1.62444,0,0,0.51202,58.82,47.08,34.88
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0.743739,4.14403,2.66085,0,3.68835,0,1.82354,0,0,0,0,0,0,57.02,46.42,35.42
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01139,2.48765,0,0,0,1.85148,0,0,0,0,0,0,55.22,45.14,34.16
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,3.83962,0.178416,1.72633,0,3.58365,5.13441,1.92919,0,0,5.13441,0.372693,0,0,53.42,45.5,37.4
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,12.4844,3.60899,1.74907,0,11.6719,3.62527,1.74861,0,10.495,3.62527,3.01063,0,3.03385,51.44,44.58,37.4
1,1,23,0,2.79382,0,0,0,0,0,0,0,2.79382,0,0,0,4.09737,1.82755,0,0,2.60725,1.82699,0,2.55975,2.60725,3.65883,0,0,48.02,42.9,37.4
1,1,24,0,0,0,0,0,2.03136,0,0,0,0,0,0,0,0.838906,3.44114,0,0,1.87674,1.88526,0,0,1.87674,2.65266,0,0,46.22,41.99,37.4
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338451,2.98991,0,0,2.51477,0,0,0,2.51477,0,0,1.81929,44.6,41.1,37.22
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38445,0.620794,0,0,0,1.2084,0,0,0,0,0,0,44.42,40.39,35.78
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581142,0.310469,0,0,0,1.78159,0,0,0,0,0,0,42.62,40.11,37.22
1,2,4,0,0,0,0,9.50817,0,2.33164,2.96814,0,0,0,0,0,0.627086,1.57367,0,90.7173,0,14.7518,0,0,0,0.812831,0,0,41.36,38.77,35.78
1,2,5,0,0,0,0,0,0,1.97625,0,0,0,0,0,0,4.45679,0,0,20.9906,0.335885,14.9909,0,0,0.335885,2.851,0,0,44.6,41.18,37.4
1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11084,0.617649,0,0,3.58681,13.5369,0,0,3.58681,2.40381,0,0,44.6,41.26,37.58
1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499503,3.37107,0,0,5.77486,0.190905,0,0,5.77486,0.551078,0,0,44.78,42.05,39.2
