Mon,Day,Hr,Dhw_CZ9_ERWH_SF_bc,Dhw_CZ9_HPWH_SF_bc,Dhw_CZ9_HPWH_bu_SF_bc,Dhw_CZ9_HPWH_bu2_SF_bc,Dhw_CZ9_ERWH_SF_3_to_6,Dhw_CZ9_HPWH_SF_3_to_6,Dhw_CZ9_HPWH_bu_SF_3_to_6,Dhw_CZ9_HPWH_bu2_SF_3_to_6,Dhw_CZ9_ERWH_SF_10_to_1,Dhw_CZ9_HPWH_SF_10_to_1,Dhw_CZ9_HPWH_bu_SF_10_to_1,Dhw_CZ9_HPWH_bu2_SF_10_to_1,Dhw_CZ9_ERWH_MF_bc,Dhw_CZ9_HPWH_MF_bc,Dhw_CZ9_HPWH_bu_MF_bc,Dhw_CZ9_HPWH_bu2_MF_bc,Dhw_CZ9_ERWH_MF_3_to_6,Dhw_CZ9_HPWH_MF_3_to_6,Dhw_CZ9_HPWH_bu_MF_3_to_6,Dhw_CZ9_HPWH_bu2_MF_3_to_6,Dhw_CZ9_ERWH_MF_10_to_1,Dhw_CZ9_HPWH_MF_10_to_1,Dhw_CZ9_HPWH_bu_MF_10_to_1,Dhw_CZ9_HPWH_bu2_MF_10_to_1,Dhw_CZ9_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,0,0,0,0,0.0543009,0,0,0,0.0543009,0,0,0,7.09647,1.75947,0,0,3.57224,0,0,0,3.57224,0,0,0,44.42,38.28,30.38
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57236,0,0,0,0,0,0,0,0,0,0,0,42.62,37.31,30.38
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36.37,30.2
1,1,4,0,0,0,0,11.3646,0,2.32589,3.01146,0,0,0,0,0,0,0,0,61.434,0.926329,14.7704,0,0,0.926329,0,0,0,40.82,35.63,28.58
1,1,5,0,0,0,0,0,0,1.95527,0,0,0,0,0,0,2.86834,0.0939275,0,16.5916,3.17327,15.2352,0,0,3.17327,0,0,0,39.2,34.68,28.58
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,18.6862,2.24557,4.95948,0,17.9182,1.85175,14.7672,0,17.6623,1.85175,1.32504,0,0,39.02,34.65,28.76
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30.6355,1.4277,4.37948,0,12.0308,0,3.74875,0,28.717,0,1.70326,0,0.0626239,37.4,34.41,30.38
1,1,8,0,0,0.169612,0,0,0,0,0,0.767925,0,0,0,9.28704,3.94927,5.42913,0,0,3.87286,3.59219,0,0,3.87286,4.11143,0,4.2267,37.58,34.52,30.38
1,1,9,0,0,2.9193,0,0,0,0,0,8.65502,0,0.481198,0,0,7.40587,5.20137,0,0,5.30042,1.88801,0,0,5.30042,5.05305,0,1.8493,39.56,35.68,30.38
1,1,10,4.35158,3.2745,0,0,0,0.221531,0,0,0,0.221531,2.9561,0,1.79183,5.23773,6.62049,0,1.0239,1.11498,1.07621,0,3.0717,1.11498,3.66418,0,14.0391,43.16,37.76,30.74
1,1,11,11.2061,1.86964,2.52912,0,0,3.0015,1.28436,0,15.3585,3.0015,2.38116,2.91654,15.3585,3.83061,6.57241,0,27.9013,3.8254,0,0,105.679,3.8254,13.6687,6.8285,6.77991,46.76,40.85,33.8
1,1,12,0,0,0.251086,0,0,0,0.936678,0,1.90543,0,1.76303,0,18.8195,6.90423,4.3245,0,13.8226,6.86777,1.8205,0,63.9417,6.86777,14.908,0,0.0418299,50.72,42.71,33.44
1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,15.3225,8.48363,3.82885,0,14.8465,7.14002,3.56372,0,17.0907,7.14002,14.1253,0,0,55.76,43.98,30.02
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20701,4.54751,0,1.53585,1.70751,2.62541,0,0,1.70751,3.51083,0,0,59.18,44.53,26.78
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17919,2.8033,0,13.3107,2.83902,1.83027,0,0,2.83902,1.84791,0,2.71082,60.8,45.39,27.14
1,1,16,0,0,0,0,8.44717,0,0,0,0,0,0,0,43.0038,0.852464,3.10178,0,0,4.44226,1.87419,0,0,4.44226,1.89068,0,3.63461,60.62,46.5,30.74
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,4.14104,5.96646,3.80722,0,2.0478,7.29174,1.82125,0,0,7.29174,0.934596,0,0.118123,59.36,46.91,33.62
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,15.3585,3.93432,5.31997,0,15.3585,1.75427,1.74947,0,0,1.75427,0,0,0.507724,57.92,46.97,35.78
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0.893029,3.17025,2.92104,0,3.66598,0,1.83311,0,0,0,0,0,0,57.02,47.28,37.58
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41164,2.55187,0,0,0,1.86082,0,0,0,0,0,0,55.22,47.16,39.38
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,3.83962,2.38404,1.69286,0,3.58365,2.22147,1.66876,0,0,2.22147,0.372778,0,0,53.42,47.2,41.36
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,12.3885,3.7357,1.75018,0,11.546,5.10632,1.74986,0,10.239,5.10632,2.98248,0,3.00839,51.8,47.98,44.6
1,1,23,0,2.66648,0,0,0,0,0,0,0,0,0,0,0,2.04954,1.82856,0,0,1.38419,1.82817,0,2.81572,1.38419,3.66,0,0,51.44,46.02,40.82
1,1,24,0,0.0289008,0,0,0,2.0327,0,0,0,2.0327,0,0,0,0,3.28933,0,0,0,1.8503,0,0,0,2.62201,0,0,48.2,43.79,39.2
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0416,0,0,0.057268,0,0,0,0.057268,0,0,1.80389,48.38,43.88,39.2
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52442,0.671349,0,0,3.81544,1.21165,0,0,3.81544,0,0,0,50,44.76,39.56
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79377,0.248754,0,0,0.411126,1.78748,0,0,0.411126,0,0,0,50.18,46.34,42.8
1,2,4,0,0,0,0,9.42093,0,2.33847,2.95363,0,0,0,0,0,0.397138,1.62034,0,90.649,0,14.796,0,0,0,0,0,0,51.62,47.02,42.8
1,2,5,0,0,0,0,0,0,1.92662,0,0,0,0,0,0,3.74921,0,0,19.7266,1.87474,14.9942,0,0,1.87474,1.76953,0,0,50.36,46.26,42.44
1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75095,0.557269,0,0,3.57517,13.5533,0,0,3.57517,2.1614,0,0,50.18,45.59,41.18
1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01065,0,0,5.86043,0.0957014,0,0,5.86043,1.8818,0,0,51.8,47.1,42.8
1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63808,2.25816,0,0,2.02514,0,0,0,2.02514,0.308442,0,0,51.08,47.84,44.96
1,2,9,0,0,0.209093,0,0,0,0,0,0,0,0,0,2.81573,3.50754,3.7332,0,0,1.59838,0,0,0.51195,1.59838,0,0,6.39526,50,47.73,45.68
1,2,10,10.7638,0,2.76434,0,0,0,0,0,0,0,1.98789,0,22.7818,3.58179,3.16311,0,0,1.33567,0,0,14.0786,1.33567,2.44396,0,5.34203,48.92,47.79,46.76
1,2,11,0,0,1.06,0,0,0,0,0,12.3393,0,3.34276,0,16.7446,0.519029,1.84166,0,0,0,0,0,30.717,0,14.8836,0,1.65641,48.2,47.9,47.66
1,2,12,0,0.748816,0,0,0,0,0,0,0,0,0.621917,0,0,0,1.86368,0,0,0,1.00974,0,11.529,0,15.3148,0,0.973215,48.2,48.2,48.2
1,2,13,0,2.33778,0,0,0,2.65792,0,0,0,2.65792,0,0,0,1.94217,1.91214,0,0,3.3621,1.80143,0,8.48988,3.3621,15.2282,0,1.88076,50,48.98,48.2
1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44875,4.35957,0,0,2.59305,1.85576,0,0,2.59305,0.415541,0,0,50.18,49.16,48.38
1,2,15,0,0,1.58137,0,0,0,1.70153,0,0,0,0,0,0,7.29757,4.53077,0,0,4.26047,0,0,0,4.26047,0,0,11.9606,51.8,50.78,50
1,2,16,0,0,0.857567,0,0,0,0.840087,0,0,0,0,0,0,3.10856,2.18647,0,0,0.963258,0,0,0,0.963258,0,0,0,51.8,50.68,49.82
1,2,17,0.767925,0.11976,0,0,1.0239,0.110747,0,0,0,0.110747,0,0,12.5428,0,1.38594,0,0,0,0,0,0,0,0,0,7.6592,51.98,50.36,49.1
1,2,18,9.88599,3.21535,0,0,8.70315,2.55854,0,0,0,2.55854,0.570772,0,2.88968,0,0,0,0,0.856735,0,0,0,0.856735,0,0,3.65314,51.8,49.77,48.2
1,2,19,0,0,0,0,0,0,0,0,0,0,1.55457,0,20.99,0,0,0,14.8465,4.32003,0,0,0,4.32003,0,0,1.10949,51.8,49.77,48.2
1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,9.59721,1.16386,0.670555,0,2.0478,4.97578,1.33957,0,0,4.97578,0,0,0.962206,51.8,49.77,48.2
1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982167,3.17555,0,0,0,3.13263,0,0,0,1.31051,0,0.73226,51.8,49.77,48.2
1,2,22,0,0,0.928458,0,0,0,0.898014,0,5.63145,0,0,0,0,1.97309,2.24859,0,0,0,3.45399,0,0,0,1.8277,0,10.6101,51.8,49.77,48.2
1,2,23,0,0,2.63988,0,0,0,2.39376,0,4.86352,0,0,0,13.3107,3.42613,4.20043,0,0,0.279271,2.94654,0,11.7748,0.279271,1.37774,0,0.776294,51.8,49.77,48.2
1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,6.67526,1.90123,1.136,0,0,1.62377,1.83177,0,1.27988,1.62377,0,0,0,51.8,49.77,48.2
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15461,1.17143,0,0,1.15461,0,0,0.0656357,51.44,49.51,48.02
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39044,0,0,0,0,0,0,0,0,0,0,0.738996,47.84,46.88,46.04
